,event_number,time,event_condition,event_time,event_wait,event_volume,event_action,valve_state,energy_use,water_use,tempering_water_use,      boiler_1_1,boiler_1_2,boiler_1_3,boiler_1_4,boiler_1_5,boiler_1_6,boiler_1_7,boiler_1_8,boiler_1_9,boiler_1_10,boiler_1_11,boiler_1_12,      boiler_2_1,boiler_2_2,boiler_2_3,boiler_2_4,boiler_2_5,boiler_2_6,boiler_2_7,boiler_2_8,boiler_2_9,boiler_2_10,boiler_2_11,boiler_2_12,      boiler_3_1,boiler_3_2,boiler_3_3,boiler_3_4,boiler_3_5,boiler_3_6,boiler_3_7,boiler_3_8,boiler_3_9,boiler_3_10,boiler_3_11,boiler_3_12,      boiler_4_1,boiler_4_2,boiler_4_3,boiler_4_4,boiler_4_5,boiler_4_6,boiler_4_7,boiler_4_8,boiler_4_9,boiler_4_10,boiler_4_11,boiler_4_12,      inlet_temp_strap,inlet_temp_probe,outlet_temp_strap,outlet_temp_probe,thermostat_temp,ambient_temp,tempering_temp,other
0,2,14:30:3 28/6/24,time,14:30:10 28/6/24,,,,closed,10.63,0.00,0.00,110.00,110.00,0.00,0.00,0.00,76.37,0.00,0.00,0.00,0.00,69.13,110.00,110.00,110.00,73.30,110.00,110.00,110.00,0.00,37.43,110.00,27.63,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.47,110.00,110.00,0.00,110.00,0.00,67.57,101.53,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.00,21.61,-50.00,24.19,30.97,19.03,18.71,
1,2,14:30:4 28/6/24,time,14:30:10 28/6/24,,,,closed,11.25,0.00,0.00,110.00,110.00,0.00,0.00,0.00,76.03,0.00,0.00,0.00,0.00,69.67,110.00,110.00,110.00,73.43,110.00,110.00,110.00,0.00,37.60,110.00,27.70,110.00,110.00,110.00,110.00,110.00,99.13,110.00,110.00,110.00,0.00,110.00,71.40,110.00,110.00,0.00,110.00,0.00,67.27,101.53,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.03,21.29,-39.03,24.84,30.97,19.03,18.39,
2,2,14:30:5 28/6/24,time,14:30:10 28/6/24,,,,closed,11.88,0.00,0.00,110.00,110.00,0.00,0.00,0.00,75.70,0.00,0.00,0.00,0.00,68.93,110.00,110.00,110.00,73.37,110.00,110.00,110.00,0.00,37.83,110.00,27.60,110.00,110.00,110.00,110.00,110.00,99.00,110.00,110.00,110.00,0.00,110.00,71.33,110.00,110.00,0.00,110.00,0.00,67.37,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.32,22.26,13.87,24.84,30.97,19.03,18.06,
3,2,14:30:6 28/6/24,time,14:30:10 28/6/24,,,,closed,13.13,0.00,0.00,110.00,110.00,0.00,0.00,0.00,76.27,0.00,0.00,0.00,0.00,68.97,110.00,110.00,110.00,73.30,110.00,110.00,110.00,0.00,37.70,110.00,27.70,110.00,110.00,110.00,110.00,110.00,99.13,110.00,110.00,110.00,0.00,110.00,71.47,110.00,110.00,0.00,110.00,0.00,67.50,101.80,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.00,20.97,-50.00,24.52,31.61,19.03,18.06,
4,2,14:30:7 28/6/24,time,14:30:10 28/6/24,,,,closed,13.75,0.00,0.00,110.00,110.00,0.00,0.00,0.00,75.53,0.00,0.00,0.00,0.00,69.07,110.00,110.00,110.00,73.30,110.00,110.00,110.00,0.00,37.70,110.00,27.70,110.00,110.00,110.00,110.00,110.00,98.87,110.00,110.00,110.00,0.00,110.00,71.20,110.00,110.00,0.00,110.00,0.00,67.57,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.68,21.29,-50.00,25.16,30.97,19.35,19.03,
5,2,14:30:8 28/6/24,time,14:30:10 28/6/24,,,,closed,14.38,0.00,0.00,110.00,110.00,0.00,0.00,0.00,75.27,0.00,0.00,0.00,0.00,69.17,110.00,110.00,110.00,73.40,110.00,110.00,110.00,0.00,37.83,110.00,27.60,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.50,110.00,110.00,0.00,110.00,0.00,67.53,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.65,20.97,14.52,24.19,31.29,20.65,18.71,
6,2,14:30:9 28/6/24,time,14:30:10 28/6/24,,,,closed,15.63,0.00,0.00,110.00,110.00,0.00,0.00,0.00,75.77,0.00,0.00,0.00,0.00,69.10,110.00,110.00,110.00,73.27,110.00,110.00,110.00,0.00,37.63,110.00,27.67,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.53,110.00,110.00,0.00,110.00,0.00,67.50,101.53,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.32,21.29,-50.00,24.19,30.97,18.71,18.71,
7,2,14:30:10 28/6/24,time,14:30:10 28/6/24,,,,closed,16.25,0.00,0.00,110.00,110.00,0.00,0.00,0.00,75.27,0.00,0.00,0.00,0.00,69.53,110.00,110.00,110.00,73.37,110.00,110.00,110.00,0.00,37.53,110.00,27.67,110.00,110.00,110.00,110.00,110.00,99.30,110.00,110.00,110.00,0.00,110.00,71.43,110.00,110.00,0.00,110.00,0.00,67.40,101.60,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.00,20.97,-23.87,24.52,30.97,19.03,18.71,
8,2,14:30:11 28/6/24,time,14:32:0 28/6/24,,,,open,16.87,0.00,0.00,110.00,110.00,0.00,0.00,0.00,75.50,0.00,0.00,0.00,0.00,69.33,110.00,110.00,110.00,73.17,110.00,110.00,110.00,0.00,37.67,110.00,27.73,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.33,110.00,110.00,0.00,110.00,0.00,67.50,101.10,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.03,20.97,-30.65,24.84,30.97,19.35,19.03,
9,3,14:30:12 28/6/24,time,14:32:0 28/6/24,,,,open,18.12,0.00,0.00,110.00,110.00,0.00,0.00,0.00,75.90,0.00,0.00,0.00,0.00,68.17,110.00,110.00,110.00,73.30,110.00,110.00,110.00,0.00,37.73,110.00,27.60,110.00,110.00,110.00,110.00,110.00,99.00,110.00,110.00,110.00,0.00,110.00,71.60,110.00,110.00,0.00,110.00,0.00,67.43,100.77,110.00,110.00,110.00,110.00,110.00,110.00,110.00,18.39,19.68,-50.00,25.48,31.29,19.03,18.71,
